Lead Month,Revenue Month,Revenue,Platform,Campaign,Ad Name,Aff_param,profile_id
2025-01-01,2025-Mar,96.13,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000013
2025-01-01,2025-Mar,94.48,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001759
2025-01-01,2025-Mar,208.94,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001661
2025-01-01,2025-Mar,98.14,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001540
2025-01-01,2025-Mar,167.49,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001328
2025-01-01,2025-Mar,76.7,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001322
2025-01-01,2025-Mar,70.94,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001049
2025-01-01,2025-Mar,104.57,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000954
2025-01-01,2025-Mar,78.47,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000859
2025-01-01,2025-Mar,127.72,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000855
2025-01-01,2025-Mar,86.02,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000765
2025-01-01,2025-Mar,72.58,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001661
2025-01-01,2025-Mar,93.08,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000018
2025-01-01,2025-Mar,114.35,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000132
2025-01-01,2025-Mar,52.92,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000138
2025-01-01,2025-Mar,120.9,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001385
2025-01-01,2025-Mar,41.44,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001298
2025-01-01,2025-Mar,156.1,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001113
2025-01-01,2025-Mar,73.81,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001104
2025-01-01,2025-Mar,150.41,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001020
2025-01-01,2025-Mar,91.83,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000915
2025-01-01,2025-Mar,4187.82,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000630
2025-01-01,2025-Mar,101.74,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000629
2025-01-01,2025-Mar,119.51,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000530
2025-01-01,2025-Mar,44.95,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000530
2025-01-01,2025-Mar,195.68,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000519
2025-01-01,2025-Mar,216.89,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000519
2025-01-01,2025-Mar,103.57,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000518
2025-01-01,2025-Mar,160.43,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000511
2025-01-01,2025-Mar,36.12,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000420
2025-01-01,2025-Mar,101.99,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000322
2025-01-01,2025-Mar,131.15,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000320
2025-01-01,2025-Mar,133.05,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000239
2025-01-01,2025-Mar,172.29,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000231
2025-01-01,2025-Mar,150.54,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000228
2025-01-01,2025-Mar,139.44,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000228
2025-01-01,2025-Mar,168.55,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001505
2025-01-01,2025-Mar,97.18,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001203
2025-01-01,2025-Mar,108.21,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001203
2025-01-01,2025-Mar,192.97,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001205
2025-01-01,2025-Mar,77.08,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990000707
2025-01-01,2025-Mar,100.39,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990000127
2025-01-01,2025-Mar,76.08,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990002030
2025-01-01,2025-Mar,62.66,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990001716
2025-01-01,2025-Mar,73.94,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990001497
2025-01-01,2025-Mar,41.11,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990001495
2025-01-01,2025-Mar,142.48,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990003103
2025-01-01,2025-Mar,2973.88,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002879
2025-01-01,2025-Mar,429.89,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002781
2025-01-01,2025-Mar,105.69,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990001823
2025-01-01,2025-Mar,2245.29,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002591
2025-01-01,2025-Mar,689.55,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002353
2025-01-01,2025-Mar,188.77,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001701
2025-01-01,2025-Mar,218.22,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001593
2025-01-01,2025-Mar,213.51,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001589
2025-01-01,2025-Mar,102.98,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001360
2025-01-01,2025-Mar,79.7,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001166
2025-01-01,2025-Mar,136.18,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000997
2025-01-01,2025-Mar,101.99,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000695
2025-01-01,2025-Mar,85.14,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000303
2025-01-01,2025-Mar,992.26,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002357
2025-01-01,2025-Mar,41.12,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990000504
2025-01-01,2025-Mar,67.72,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990000906
2025-01-01,2025-Mar,42.37,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990001176
2025-01-01,2025-May,135.31,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001245
2025-01-01,2025-May,47.67,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001245
2025-01-01,2025-May,69.55,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001244
2025-01-01,2025-May,93.93,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001138
2025-01-01,2025-May,106.65,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001136
2025-01-01,2025-May,85.4,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001136
2025-01-01,2025-May,51.76,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000772
2025-01-01,2025-May,98.71,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000566
2025-01-01,2025-May,145.47,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000565
2025-01-01,2025-May,109.39,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000563
2025-01-01,2025-May,49.71,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000464
2025-01-01,2025-May,109.45,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000164
2025-01-01,2025-May,1149.41,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000061
2025-01-01,2025-May,120.59,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000056
2025-01-01,2025-Mar,89.07,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990003217
2025-01-01,2025-Mar,206.24,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990000822
2025-01-01,2025-Mar,78.32,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990003113
2025-01-01,2025-Mar,87.52,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990002996
2025-01-01,2025-Mar,63.42,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990002784
2025-01-01,2025-Mar,50.49,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990001488
2025-01-01,2025-Mar,78.16,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990001488
2025-01-01,2025-Mar,140.71,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000199
2025-01-01,2025-Mar,87.37,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000106
2025-01-01,2025-Mar,210.85,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002880
2025-01-01,2025-Mar,197.09,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002783
2025-01-01,2025-Mar,139.19,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002918
2025-01-01,2025-Mar,110.44,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002916
2025-01-01,2025-Mar,127.08,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002911
2025-01-01,2025-Mar,102.79,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002814
2025-01-01,2025-Mar,102.73,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002526
2025-01-01,2025-Mar,135.43,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002162
2025-01-01,2025-Mar,134.98,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002160
2025-01-01,2025-Mar,78.52,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002051
2025-01-01,2025-Mar,124.7,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001942
2025-01-01,2025-Mar,87.73,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001942
2025-01-01,2025-Mar,212.74,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001941
2025-01-01,2025-Mar,71.43,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001836
2025-01-01,2025-Mar,98.04,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001835
2025-01-01,2025-Mar,106.88,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001747
2025-01-01,2025-Mar,162.9,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001737
2025-01-01,2025-Mar,271.02,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001640
2025-01-01,2025-Mar,85.31,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001634
2025-01-01,2025-Mar,161.09,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001631
2025-01-01,2025-Mar,163.99,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001311
2025-01-01,2025-Mar,112.91,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001213
2025-01-01,2025-Mar,114.02,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001207
2025-01-01,2025-Mar,156.48,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003027
2025-01-01,2025-Mar,147.09,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000765
2025-01-01,2025-Mar,90.39,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003036
2025-01-01,2025-Mar,125.44,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003132
2025-01-01,2025-Mar,62.94,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002251
2025-01-01,2025-Mar,264.33,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002015
2025-01-01,2025-Mar,132.1,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001913
2025-01-01,2025-Mar,159.39,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001913
2025-01-01,2025-Mar,193.88,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001812
2025-01-01,2025-Mar,258.59,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001810
2025-01-01,2025-Mar,195.15,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001599
2025-01-01,2025-Mar,81.21,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001599
2025-01-01,2025-Mar,150.51,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001285
2025-01-01,2025-Mar,230.14,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001173
2025-01-01,2025-Mar,146.21,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000899
2025-01-01,2025-Mar,115.58,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000811
2025-01-01,2025-Mar,98.78,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000699
2025-01-01,2025-Mar,319.9,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000611
2025-01-01,2025-Mar,100.66,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000399
2025-01-01,2025-Mar,270.41,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000208
2025-01-01,2025-Mar,155.78,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003144
2025-01-01,2025-Mar,98.0,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003140
2025-01-01,2025-Mar,123.5,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003136
2025-01-01,2025-Mar,4117.72,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003135
2025-01-01,2025-Mar,1372.68,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003135
2025-01-01,2025-Mar,322.22,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003132
2025-01-01,2025-Mar,97.48,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000765
2025-01-01,2025-Mar,175.83,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000760
2025-01-01,2025-Mar,207.16,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000760
2025-01-01,2025-Jun,94.25,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990000410
2025-01-01,2025-Jun,43.41,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990002788
2025-01-01,2025-Jun,41.76,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990002785
2025-01-01,2025-Jun,66.61,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990002368
2025-01-01,2025-Jun,42.01,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990002368
2025-01-01,2025-Jun,74.7,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990001711
2025-01-01,2025-Jun,38.96,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990003225
2025-01-01,2025-Jun,44.19,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990001497
2025-01-01,2025-Jun,2516.68,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002879
2025-01-01,2025-Jun,246.96,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990002026
2025-01-01,2025-Jun,406.7,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002879
2025-01-01,2025-Jun,186.36,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001279
2025-01-01,2025-Jun,91.92,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002783
2025-01-01,2025-Jun,299.01,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002491
2025-01-01,2025-Jun,179.99,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002363
2025-01-01,2025-Jun,70.46,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002249
2025-01-01,2025-Jun,86.26,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002119
2025-01-01,2025-Jun,155.1,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001707
2025-01-01,2025-Jun,173.03,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001599
2025-01-01,2025-Jun,123.69,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003144
2025-01-01,2025-Jun,1177.4,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002353
2025-01-01,2025-Jun,53.77,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990002599
2025-01-01,2025-Mar,76.06,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000058
2025-01-01,2025-Mar,566.81,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000061
2025-01-01,2025-Mar,44.82,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002079
2025-01-01,2025-Mar,82.34,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002076
2025-01-01,2025-Mar,106.04,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002076
2025-01-01,2025-Mar,111.55,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002075
2025-01-01,2025-Mar,75.55,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001971
2025-01-01,2025-Mar,97.98,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001862
2025-01-01,2025-Mar,133.85,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001666
2025-01-01,2025-Mar,78.53,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001447
2025-01-01,2025-Mar,145.33,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001245
2025-01-01,2025-Mar,87.11,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001234
2025-01-01,2025-Mar,108.56,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001137
2025-01-01,2025-Mar,156.1,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001137
2025-01-01,2025-Mar,165.75,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000865
2025-01-01,2025-Mar,140.32,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000774
2025-01-01,2025-Mar,151.69,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000774
2025-01-01,2025-Mar,68.32,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000771
2025-01-01,2025-Mar,813.9,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000568
2025-01-01,2025-Mar,126.79,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000352
2025-01-01,2025-Mar,115.66,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000164
2025-01-01,2025-Mar,78.81,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000064
2025-01-01,2025-Mar,1226.89,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000061
2025-01-01,2025-Jun,119.38,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003143
2025-01-01,2025-Jun,93.29,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003136
2025-01-01,2025-Jun,152.21,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002912
2025-01-01,2025-Jun,195.32,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002910
2025-01-01,2025-Jun,105.7,Google Search,Brand Search,Brand Core RSA,AFF-1201,990003122
2025-01-01,2025-Jun,1002.49,Google Search,Brand Search,Brand Core RSA,AFF-1201,990003120
2025-01-01,2025-Jun,118.85,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002898
2025-01-01,2025-Jun,83.15,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002709
2025-01-01,2025-Jun,166.48,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002705
2025-01-01,2025-Jun,55.4,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002703
2025-01-01,2025-Jun,123.31,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002693
2025-01-01,2025-Jun,136.22,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002514
2025-01-01,2025-Jun,162.51,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002392
2025-01-01,2025-Jun,219.18,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002381
2025-01-01,2025-Jun,62.9,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002042
2025-01-01,2025-Jun,125.12,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002039
2025-01-01,2025-Jun,98.88,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002039
2025-01-01,2025-Jun,122.73,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002036
2025-01-01,2025-Jun,71.46,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001925
2025-01-01,2025-Jun,193.6,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001825
2025-01-01,2025-Jun,122.92,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001627
2025-01-01,2025-Jun,162.69,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001023
2025-01-01,2025-Jun,139.65,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000918
2025-01-01,2025-Jun,2840.97,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000133
2025-01-01,2025-Jun,60.32,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990003156
2025-01-01,2025-Jun,66.03,Google Search,Brand Search,Brand Core RSA,AFF-1201,990003124
2025-01-01,2025-Mar,96.26,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002194
2025-01-01,2025-Jun,1579.2,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000144
