lead_day,Platform,Campaign,Ad Name,Aff_param,Cost
2025-01-07,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,75.29
2025-01-08,Bing,Brand Search,Bing Brand Exact,AFF-3201,916.63
2025-01-08,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,449.38
2025-01-08,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,901.85
2025-01-08,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,536.19
2025-01-08,Google Display,Prospecting Display,In-Market Display A,AFF-2201,705.36
2025-01-08,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,333.5
2025-01-08,Google Search,Brand Search,Brand Core RSA,AFF-1201,1564.88
2025-01-08,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2062.04
2025-01-08,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,846.92
2025-01-08,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,327.73
2025-01-08,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,171.0
2025-01-08,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,52.54
2025-01-08,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,470.24
2025-01-08,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,141.05
2025-01-09,Bing,Brand Search,Bing Brand Exact,AFF-3201,370.71
2025-01-09,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,352.08
2025-01-09,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,805.05
2025-01-09,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,767.29
2025-01-09,Google Display,Prospecting Display,In-Market Display A,AFF-2201,282.77
2025-01-09,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,264.62
2025-01-09,Google Search,Brand Search,Brand Core RSA,AFF-1201,913.96
2025-01-09,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1068.56
2025-01-09,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,633.19
2025-01-09,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,456.14
2025-01-09,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,109.07
2025-01-09,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,57.02
2025-01-09,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,336.74
2025-01-09,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,358.16
2025-01-10,Bing,Brand Search,Bing Brand Exact,AFF-3201,640.86
2025-01-10,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,568.49
2025-01-10,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,930.99
2025-01-10,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,601.88
2025-01-10,Google Display,Prospecting Display,In-Market Display A,AFF-2201,374.3
2025-01-10,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,459.47
2025-01-10,Google Search,Brand Search,Brand Core RSA,AFF-1201,552.69
2025-01-10,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2251.12
2025-01-10,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,247.95
2025-01-10,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,602.68
2025-01-10,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,116.14
2025-01-10,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,151.02
2025-01-10,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,362.28
2025-01-10,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,374.71
2025-01-11,Bing,Brand Search,Bing Brand Exact,AFF-3201,456.53
2025-01-11,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,439.15
2025-01-11,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,844.69
2025-01-11,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,394.36
2025-01-11,Google Display,Prospecting Display,In-Market Display A,AFF-2201,335.05
2025-01-11,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,191.41
2025-01-11,Google Search,Brand Search,Brand Core RSA,AFF-1201,809.05
2025-01-11,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1364.56
2025-01-11,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,265.3
2025-01-11,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,680.52
2025-01-11,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,242.01
2025-01-11,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,216.79
2025-01-11,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,149.29
2025-01-11,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,148.26
2025-01-12,Bing,Brand Search,Bing Brand Exact,AFF-3201,529.39
2025-01-12,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,304.63
2025-01-12,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1010.27
2025-01-12,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,528.73
2025-01-12,Google Display,Prospecting Display,In-Market Display A,AFF-2201,125.55
2025-01-12,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,98.13
2025-01-12,Google Search,Brand Search,Brand Core RSA,AFF-1201,1057.12
2025-01-12,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1148.18
2025-01-12,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,825.26
2025-01-12,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,592.23
2025-01-12,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,120.92
2025-01-12,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,160.04
2025-01-12,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,310.22
2025-01-12,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,74.82
2025-01-13,Bing,Brand Search,Bing Brand Exact,AFF-3201,1002.85
2025-01-13,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,503.41
2025-01-13,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,770.67
2025-01-13,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,740.13
2025-01-13,Google Display,Prospecting Display,In-Market Display A,AFF-2201,546.53
2025-01-13,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,140.55
2025-01-13,Google Search,Brand Search,Brand Core RSA,AFF-1201,843.59
2025-01-13,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2417.55
2025-01-13,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,580.55
2025-01-13,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,721.54
2025-01-13,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,96.68
2025-01-13,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,271.08
2025-01-13,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,70.17
2025-01-14,Bing,Brand Search,Bing Brand Exact,AFF-3201,566.8
2025-01-14,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,310.84
2025-01-14,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,617.07
2025-01-14,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,490.18
2025-01-14,Google Display,Prospecting Display,In-Market Display A,AFF-2201,324.77
2025-01-14,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,397.31
2025-01-14,Google Search,Brand Search,Brand Core RSA,AFF-1201,615.1
2025-01-14,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1435.78
2025-01-14,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,610.32
2025-01-14,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,545.09
2025-01-14,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,168.98
2025-01-14,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,206.63
2025-01-14,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,440.88
2025-01-14,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,196.75
2025-01-15,Bing,Brand Search,Bing Brand Exact,AFF-3201,524.8
2025-01-15,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,344.62
2025-01-15,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1045.21
2025-01-15,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,624.8
2025-01-15,Google Display,Prospecting Display,In-Market Display A,AFF-2201,586.19
2025-01-15,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,299.08
2025-01-15,Google Search,Brand Search,Brand Core RSA,AFF-1201,2109.64
2025-01-15,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1468.34
2025-01-15,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,402.86
2025-01-15,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,513.15
2025-01-15,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,215.95
2025-01-15,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,144.07
2025-01-15,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,307.88
2025-01-15,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,228.4
2025-01-16,Bing,Brand Search,Bing Brand Exact,AFF-3201,753.2
2025-01-16,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,612.04
2025-01-16,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1123.71
2025-01-16,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,688.83
2025-01-16,Google Display,Prospecting Display,In-Market Display A,AFF-2201,358.01
2025-01-16,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,193.58
2025-01-16,Google Search,Brand Search,Brand Core RSA,AFF-1201,1796.04
2025-01-16,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1138.19
2025-01-16,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,779.71
2025-01-16,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,880.55
2025-01-16,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,177.29
2025-01-16,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,97.68
2025-01-16,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,269.58
2025-01-16,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,141.65
2025-01-17,Bing,Brand Search,Bing Brand Exact,AFF-3201,566.04
2025-01-17,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,406.5
2025-01-17,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,427.16
2025-01-17,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,957.87
2025-01-17,Google Display,Prospecting Display,In-Market Display A,AFF-2201,545.86
2025-01-17,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,254.26
2025-01-17,Google Search,Brand Search,Brand Core RSA,AFF-1201,1376.48
2025-01-17,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1674.22
2025-01-17,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,268.34
2025-01-17,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,959.46
2025-01-17,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,296.0
2025-01-17,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,48.51
2025-01-17,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,304.96
2025-01-18,Bing,Brand Search,Bing Brand Exact,AFF-3201,280.46
2025-01-18,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,1090.01
2025-01-18,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,876.12
2025-01-18,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,964.22
2025-01-18,Google Display,Prospecting Display,In-Market Display A,AFF-2201,185.67
2025-01-18,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,261.08
2025-01-18,Google Search,Brand Search,Brand Core RSA,AFF-1201,857.15
2025-01-18,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2090.84
2025-01-18,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,744.29
2025-01-18,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,379.84
2025-01-18,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,178.87
2025-01-18,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,229.83
2025-01-18,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,134.25
2025-01-18,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,134.36
2025-01-19,Bing,Brand Search,Bing Brand Exact,AFF-3201,742.66
2025-01-19,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,1028.92
2025-01-19,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1157.07
2025-01-19,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,664.59
2025-01-19,Google Display,Prospecting Display,In-Market Display A,AFF-2201,580.95
2025-01-19,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,197.08
2025-01-19,Google Search,Brand Search,Brand Core RSA,AFF-1201,488.51
2025-01-19,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1134.0
2025-01-19,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,492.05
2025-01-19,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,390.81
2025-01-19,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,122.69
2025-01-19,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,69.08
2025-01-19,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,194.66
2025-01-20,Bing,Brand Search,Bing Brand Exact,AFF-3201,1378.82
2025-01-20,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,235.12
2025-01-20,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,982.06
2025-01-20,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,836.95
2025-01-20,Google Display,Prospecting Display,In-Market Display A,AFF-2201,404.68
2025-01-20,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,459.51
2025-01-20,Google Search,Brand Search,Brand Core RSA,AFF-1201,917.34
2025-01-20,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1259.7
2025-01-20,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,374.49
2025-01-20,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,705.55
2025-01-20,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,168.57
2025-01-20,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,48.28
2025-01-20,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,361.78
2025-01-20,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,428.51
2025-01-21,Bing,Brand Search,Bing Brand Exact,AFF-3201,574.62
2025-01-21,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,335.5
2025-01-21,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,900.23
2025-01-21,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,812.06
2025-01-21,Google Display,Prospecting Display,In-Market Display A,AFF-2201,483.66
2025-01-21,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,351.02
2025-01-21,Google Search,Brand Search,Brand Core RSA,AFF-1201,955.55
2025-01-21,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1544.66
2025-01-21,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,249.19
2025-01-21,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,505.7
2025-01-21,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,175.37
2025-01-21,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,97.25
2025-01-21,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,218.34
2025-01-21,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,331.4
2025-01-22,Bing,Brand Search,Bing Brand Exact,AFF-3201,821.3
2025-01-22,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,630.67
2025-01-22,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1238.19
2025-01-22,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1345.12
2025-01-22,Google Display,Prospecting Display,In-Market Display A,AFF-2201,301.16
2025-01-22,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,446.44
2025-01-22,Google Search,Brand Search,Brand Core RSA,AFF-1201,1606.64
2025-01-22,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2055.57
2025-01-22,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1020.12
2025-01-22,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,700.42
2025-01-22,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,222.79
2025-01-22,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,286.48
2025-01-22,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,135.81
2025-01-22,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,68.36
2025-01-23,Bing,Brand Search,Bing Brand Exact,AFF-3201,1254.21
2025-01-23,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,496.2
2025-01-23,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,613.87
2025-01-23,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1182.75
2025-01-23,Google Display,Prospecting Display,In-Market Display A,AFF-2201,313.82
2025-01-23,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,233.45
2025-01-23,Google Search,Brand Search,Brand Core RSA,AFF-1201,1057.47
2025-01-23,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1115.61
2025-01-23,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,546.12
2025-01-23,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,874.09
2025-01-23,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,183.93
2025-01-23,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,109.48
2025-01-23,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,380.36
2025-01-23,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,139.73
2025-01-24,Bing,Brand Search,Bing Brand Exact,AFF-3201,922.96
2025-01-24,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,536.97
2025-01-24,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1417.8
2025-01-24,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1321.38
2025-01-24,Google Display,Prospecting Display,In-Market Display A,AFF-2201,487.91
2025-01-24,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,299.07
2025-01-24,Google Search,Brand Search,Brand Core RSA,AFF-1201,1621.87
2025-01-24,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1556.23
2025-01-24,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,286.26
2025-01-24,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,259.54
2025-01-24,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,170.41
2025-01-24,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,216.37
2025-01-24,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,333.29
2025-01-24,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,335.86
2025-01-25,Bing,Brand Search,Bing Brand Exact,AFF-3201,789.4
2025-01-25,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,827.81
2025-01-25,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,637.13
2025-01-25,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,820.31
2025-01-25,Google Display,Prospecting Display,In-Market Display A,AFF-2201,280.04
