Revenue Date,Revenue,Platform,Campaign,Ad Name,Aff_param,profile_id
2025-01-14,43.87,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001327
2025-01-14,59.99,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000520
2025-01-14,168.88,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001191
2025-01-14,91.22,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000155
2025-01-14,137.39,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990000411
2025-01-15,137.54,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000172
2025-01-15,41.16,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000172
2025-01-15,152.11,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000987
2025-01-15,64.53,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000516
2025-01-15,132.43,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001298
2025-01-16,127.69,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001057
2025-01-16,210.9,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990001060
2025-01-16,59.81,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001217
2025-01-16,140.97,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990000408
2025-01-16,68.03,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990000410
2025-01-16,53.57,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,990000702
2025-01-17,97.86,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000461
2025-01-17,82.42,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000954
2025-01-17,62.26,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001050
2025-01-17,288.52,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000128
2025-01-17,87.83,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000834
2025-01-17,129.89,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001020
2025-01-17,67.24,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001397
2025-01-17,1262.88,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001400
2025-01-17,129.85,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000695
2025-01-18,79.6,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990001432
2025-01-18,159.27,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001727
2025-01-18,150.15,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001285
2025-01-19,98.41,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990001353
2025-01-19,90.05,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990001800
2025-01-19,43.24,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000279
2025-01-19,142.96,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000595
2025-01-19,37.75,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000915
2025-01-19,81.05,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000649
2025-01-19,95.71,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001207
2025-01-19,57.31,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001283
2025-01-20,53.41,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000491
2025-01-20,97.63,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990001576
2025-01-20,49.38,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990002001
2025-01-20,65.66,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000283
2025-01-20,105.61,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001759
2025-01-20,140.21,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000635
2025-01-20,88.28,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001747
2025-01-21,117.87,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000767
2025-01-21,71.39,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000470
2025-01-21,191.84,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000227
2025-01-21,158.88,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000839
2025-01-21,100.99,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000501
2025-01-22,1024.58,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000568
2025-01-22,112.75,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001665
2025-01-22,86.52,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002190
2025-01-22,142.18,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000873
2025-01-22,135.36,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001022
2025-01-22,67.03,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001724
2025-01-22,128.88,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001927
2025-01-22,157.09,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001367
2025-01-22,193.19,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002015
2025-01-22,149.92,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000606
2025-01-22,185.12,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001595
2025-01-23,73.65,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000569
2025-01-23,227.71,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001763
2025-01-23,56.34,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990001775
2025-01-23,80.22,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990001560
2025-01-23,78.6,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990002340
2025-01-23,58.23,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000518
2025-01-24,75.21,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000178
2025-01-24,65.86,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990001782
2025-01-24,142.16,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000837
2025-01-24,69.56,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002165
2025-01-24,225.23,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000606
2025-01-25,74.81,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001336
2025-01-25,88.91,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990001432
2025-01-25,233.75,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001111
2025-01-25,67.24,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001923
2025-01-25,81.69,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002139
2025-01-25,187.86,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000699
2025-01-26,64.42,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990002563
2025-01-26,81.11,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990001790
2025-01-26,167.76,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002015
2025-01-27,55.83,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000176
2025-01-27,164.09,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000052
2025-01-27,1781.36,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000630
2025-01-27,88.04,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001408
2025-01-27,87.76,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001926
2025-01-27,101.99,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000501
2025-01-27,347.11,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001172
2025-01-27,125.61,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990001169
2025-01-28,125.7,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000968
2025-01-28,91.87,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000367
2025-01-28,69.25,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990002091
2025-01-28,67.69,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990002206
2025-01-28,105.71,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990000454
2025-01-28,122.9,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990002176
2025-01-28,130.07,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001328
2025-01-28,1241.96,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001400
2025-01-28,179.77,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001504
2025-01-28,93.0,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001923
2025-01-28,125.69,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000153
2025-01-28,113.64,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001314
2025-01-28,243.34,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000812
2025-01-29,119.16,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000603
2025-01-29,55.15,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990002475
2025-01-29,113.23,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000084
2025-01-29,59.16,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000373
2025-01-29,116.47,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002834
2025-01-29,130.03,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000841
2025-01-29,60.74,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001117
2025-01-29,133.22,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001203
2025-01-29,70.01,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990002504
2025-01-30,76.47,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001057
2025-01-30,114.08,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990002563
2025-01-30,180.13,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000191
2025-01-30,70.57,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990002864
2025-01-30,79.52,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990003098
2025-01-30,83.22,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000975
2025-01-30,66.28,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000023
2025-01-31,68.53,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990003203
2025-01-31,133.38,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990001689
2025-01-31,64.59,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990002207
2025-01-31,53.89,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990000852
2025-01-31,124.83,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000561
2025-01-31,99.05,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002427
2025-01-31,107.35,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000717
2025-01-31,227.71,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000719
2025-01-31,124.57,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001021
2025-01-31,123.2,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002042
2025-01-31,109.69,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000209
2025-02-01,65.87,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000461
2025-02-01,1428.74,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001977
2025-02-01,114.36,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000074
2025-02-01,156.96,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000530
2025-02-01,53.94,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000628
2025-02-01,62.43,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001828
2025-02-01,69.84,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000033
2025-02-01,73.68,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002288
2025-02-01,113.89,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002717
2025-02-02,83.16,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000355
2025-02-02,50.08,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001240
2025-02-02,199.43,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990002777
2025-02-02,110.54,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001438
2025-02-02,186.19,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001388
2025-02-02,161.74,Google Search,Brand Search,Brand Core RSA,AFF-1201,990003339
2025-02-02,142.06,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000426
2025-02-02,119.13,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000923
2025-02-02,74.39,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001200
2025-02-02,297.27,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990002252
2025-02-02,54.52,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990001490
2025-02-03,41.4,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000167
2025-02-03,94.51,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000090
2025-02-03,72.32,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990001160
2025-02-03,26.2,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990001802
2025-02-03,117.11,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001189
2025-02-03,89.52,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001724
2025-02-03,165.55,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002271
2025-02-03,1428.45,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002798
2025-02-03,84.97,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001639
2025-02-03,121.13,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002524
2025-02-03,78.8,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001170
2025-02-03,160.52,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000106
2025-02-03,123.39,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990001495
2025-02-04,185.61,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002313
2025-02-04,2166.89,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002839
2025-02-04,109.77,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000575
2025-02-04,60.12,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990003072
2025-02-04,114.97,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000458
2025-02-04,179.09,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000419
2025-02-04,1673.47,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000633
2025-02-04,98.27,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002280
2025-02-04,97.88,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000031
2025-02-04,46.96,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001205
2025-02-04,152.0,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003608
2025-02-04,3677.14,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002591
2025-02-04,84.36,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990000704
2025-02-05,71.29,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990002444
2025-02-05,131.98,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990003775
2025-02-05,142.01,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000492
2025-02-05,115.21,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990003200
2025-02-05,38.57,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000018
2025-02-05,112.42,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002802
2025-02-05,109.8,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000153
2025-02-05,164.96,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000934
2025-02-05,152.62,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001636
2025-02-05,1229.77,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002173
2025-02-05,113.82,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000608
2025-02-05,121.21,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990003119
2025-02-06,145.6,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990001560
2025-02-06,60.96,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990001222
2025-02-06,109.0,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002735
2025-02-06,77.09,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990003049
2025-02-06,67.5,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001109
2025-02-06,117.72,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001403
2025-02-06,167.41,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001407
2025-02-06,128.31,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002693
2025-02-06,113.2,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000930
2025-02-06,224.68,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001421
2025-02-06,96.98,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003258
2025-02-06,61.71,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,990003699
2025-02-07,160.62,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001236
2025-02-07,146.26,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001442
2025-02-07,57.29,Bing,Brand Search,Bing Brand Exact,AFF-3201,990003762
2025-02-07,71.09,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000361
2025-02-07,56.96,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000468
2025-02-07,52.78,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000373
2025-02-07,559.25,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000630
2025-02-07,87.54,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001388
2025-02-07,97.26,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001404
2025-02-07,107.19,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000337
2025-02-07,184.78,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000931
2025-02-07,75.0,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001090
2025-02-07,1694.34,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002591
2025-02-07,86.38,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990000914
2025-02-08,62.38,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990001874
2025-02-08,125.37,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990001073
2025-02-08,54.34,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990003091
2025-02-08,50.21,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000582
2025-02-08,63.29,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990000852
2025-02-08,118.99,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990001652
2025-02-08,112.84,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000512
2025-02-08,75.85,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001385
2025-02-08,136.05,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002040
2025-02-08,98.0,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002806
2025-02-08,86.84,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000444
2025-02-08,179.73,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000537
2025-02-08,118.61,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002917
2025-02-08,98.39,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001365
2025-02-08,63.33,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990000914
2025-02-08,56.77,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990001176
2025-02-09,96.93,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001234
2025-02-09,123.18,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000068
2025-02-09,89.97,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990002106
2025-02-09,112.87,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990002240
2025-02-09,90.92,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990003404
2025-02-09,97.52,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990003916
2025-02-09,135.91,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990004043
2025-02-09,76.27,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990000654
2025-02-09,124.13,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000760
2025-02-09,106.8,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990003158
2025-02-09,159.98,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001827
2025-02-09,286.83,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002709
2025-02-09,109.39,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000337
2025-02-09,1427.83,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002173
2025-02-09,157.27,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001707
2025-02-09,2580.55,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990002879
2025-02-09,2698.83,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990003107
2025-02-09,105.05,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990004307
2025-02-10,164.98,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002436
2025-02-10,136.91,Bing,Brand Search,Bing Brand Exact,AFF-3201,990003283
2025-02-10,106.19,Bing,Brand Search,Bing Brand Exact,AFF-3201,990003388
2025-02-10,117.75,Bing,Brand Search,Bing Brand Exact,AFF-3201,990003765
2025-02-10,166.9,Bing,Brand Search,Bing Brand Exact,AFF-3201,990004258
2025-02-10,95.51,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990002651
2025-02-10,51.71,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990004029
2025-02-10,1392.85,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000800
2025-02-10,117.79,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990004053
2025-02-10,79.36,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990004433
2025-02-10,51.35,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990001652
2025-02-10,91.94,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990002541
2025-02-10,52.21,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990004011
2025-02-10,2557.03,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000633
2025-02-10,112.65,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000920
2025-02-10,137.13,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002904
2025-02-10,102.01,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000926
2025-02-10,72.08,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001118
2025-02-10,198.16,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990002405
2025-02-10,97.35,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990003685
2025-02-10,94.83,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,990001708
2025-02-11,1903.14,Bing,Brand Search,Bing Brand Exact,AFF-3201,990004256
2025-02-11,88.97,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990003507
2025-02-11,85.4,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990003773
2025-02-11,57.58,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990002334
2025-02-11,94.49,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002071
2025-02-11,1305.85,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000133
2025-02-11,77.9,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002384
2025-02-11,38.24,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000443
2025-02-11,97.43,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990003996
2025-02-12,89.12,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001963
2025-02-12,48.55,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002304
2025-02-12,67.91,Bing,Brand Search,Bing Brand Exact,AFF-3201,990002436
2025-02-12,117.98,Bing,Brand Search,Bing Brand Exact,AFF-3201,990004254
2025-02-12,138.0,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000167
2025-02-12,146.84,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000465
2025-02-12,79.86,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990003195
2025-02-12,114.18,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990003269
2025-02-12,152.86,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000003
